Year,Horsepower,Cylinders,Mileage,Price,Age
2016,300.0,6.0,30,49200,9
2017,320.0,6.0,30,49650,8
2017,248.0,4.0,33,43950,8
2015,241.0,4.0,33,41950,10
2015,335.0,6.0,33,50150,10
2015,240.0,4.0,35,37500,10
2015,300.0,6.0,32,43750,10
2015,180.0,4.0,45,39000,10
2015,240.0,4.0,33,39500,10
2015,240.0,4.0,33,39500,10
2015,180.0,4.0,35,34950,10
2015,300.0,6.0,30,45750,10
2015,180.0,4.0,43,43450,10
2015,240.0,4.0,35,37500,10
2015,180.0,4.0,43,41000,10
2015,180.0,4.0,36,32950,10
2016,180.0,4.0,40,41850,9
2016,320.0,6.0,33,47800,9
2016,180.0,4.0,42,39850,9
2016,240.0,4.0,34,38350,9
2016,240.0,4.0,34,40350,9
2016,240.0,4.0,34,38350,9
2016,240.0,4.0,34,42650,9
2016,180.0,4.0,36,33150,9
2016,180.0,4.0,35,35150,9
2016,180.0,4.0,40,44150,9
2016,320.0,6.0,33,45800,9
2017,248.0,4.0,34,38750,8
2017,180.0,4.0,34,35450,8
2017,180.0,4.0,35,33450,8
2017,248.0,4.0,33,40750,8
2017,180.0,4.0,40,42250,8
2017,248.0,4.0,33,42950,8
2017,180.0,4.0,42,40250,8
2017,320.0,6.0,31,49900,8
2017,320.0,6.0,32,47900,8
2017,180.0,4.0,40,44450,8
1991,177.0,6.0,19,2232,34
1991,177.0,6.0,20,2000,34
1991,158.0,6.0,22,2000,34
1991,177.0,6.0,20,2105,34
1991,177.0,6.0,18,2199,34
1991,177.0,6.0,22,2000,34
1991,177.0,6.0,19,2124,34
1991,228.0,6.0,21,3552,34
1991,217.0,6.0,22,2179,34
1991,121.0,5.0,30,2000,34
1992,121.0,5.0,29,2000,33
1992,228.0,6.0,17,2377,33
1992,228.0,6.0,21,3814,33
1992,177.0,6.0,19,2207,33
1992,177.0,6.0,20,2000,33
1992,217.0,6.0,21,2248,33
1992,177.0,6.0,22,2065,33
1992,148.0,6.0,22,2547,33
1992,177.0,6.0,18,2282,33
1992,158.0,6.0,23,2000,33
1993,177.0,6.0,19,2544,32
1993,217.0,6.0,22,2397,32
1993,121.0,5.0,30,2000,32
1993,228.0,6.0,21,4174,32
1993,217.0,6.0,22,2187,32
1993,148.0,6.0,22,2729,32
1993,177.0,6.0,19,2433,32
1993,194.0,6.0,23,2247,32
1993,228.0,6.0,18,2540,32
1997,218.0,6.0,23,3941,28
1997,161.0,6.0,22,3295,28
1997,320.0,6.0,22,6008,28
1998,320.0,6.0,22,6710,27
1998,161.0,6.0,22,3701,27
1998,218.0,6.0,23,4671,27
1999,218.0,6.0,23,5306,26
1999,320.0,6.0,22,7600,26
1999,161.0,6.0,22,4090,26
2015,300.0,6.0,27,37570,10
2015,292.0,6.0,31,31695,10
2015,292.0,6.0,31,38070,10
2015,292.0,6.0,27,44895,10
2015,300.0,6.0,31,35070,10
2015,292.0,6.0,31,42395,10
2015,292.0,6.0,27,34195,10
2015,292.0,6.0,27,40570,10
2016,300.0,6.0,27,38095,9
2016,300.0,6.0,31,35595,9
2016,292.0,6.0,27,45190,9
2016,292.0,6.0,31,32260,9
2016,292.0,6.0,27,37755,9
2016,292.0,6.0,27,41055,9
2016,300.0,6.0,31,36090,9
2016,292.0,6.0,31,42690,9
2016,292.0,6.0,31,38555,9
2016,292.0,6.0,31,35255,9
2016,300.0,6.0,27,38590,9
2016,292.0,6.0,27,34760,9
2017,292.0,6.0,27,41135,8
2017,292.0,6.0,27,45270,8
2017,300.0,6.0,27,38670,8
2017,292.0,6.0,30,38635,8
2017,300.0,6.0,30,36170,8
2017,300.0,6.0,27,38175,8
2017,292.0,6.0,30,32340,8
2017,292.0,6.0,30,42770,8
2017,292.0,6.0,27,34840,8
2017,300.0,6.0,30,35675,8
2002,250.0,6.0,24,32065,23
2002,250.0,6.0,24,28540,23
2003,255.0,6.0,25,32315,22
2003,250.0,6.0,25,28885,22
2004,250.0,6.0,25,29185,21
2004,255.0,6.0,25,32615,21
1994,222.0,6.0,22,2847,31
1994,222.0,6.0,22,2488,31
1994,300.0,6.0,22,2683,31
1994,222.0,6.0,22,2553,31
1995,300.0,6.0,22,3049,30
1995,222.0,6.0,22,2774,30
1995,222.0,6.0,22,2702,30
1995,222.0,6.0,22,3101,30
1996,300.0,6.0,22,3510,29
1996,222.0,6.0,22,3107,29
1996,222.0,6.0,22,3624,29
1996,222.0,6.0,22,3185,29
1992,82.0,4.0,33,2000,33
1992,82.0,4.0,33,2000,33
1993,82.0,4.0,33,2000,32
1993,82.0,4.0,32,2000,32
1994,82.0,4.0,33,2000,31
1990,134.0,6.0,23,2144,35
1990,134.0,6.0,23,2098,35
1991,134.0,6.0,23,2178,34
1991,134.0,6.0,23,2311,34
2007,306.0,6.0,23,36550,18
2007,306.0,6.0,23,41250,18
2007,306.0,6.0,24,30600,18
2007,306.0,6.0,24,37100,18
2007,306.0,6.0,25,27900,18
2007,306.0,6.0,25,32700,18
2007,306.0,6.0,24,40250,18
2007,306.0,6.0,24,35550,18
2007,306.0,6.0,25,36100,18
2007,306.0,6.0,24,33200,18
2007,306.0,6.0,24,37900,18
2007,306.0,6.0,25,29600,18
2007,306.0,6.0,25,38070,18
2007,306.0,6.0,23,38900,18
2008,306.0,6.0,24,33840,17
2008,306.0,6.0,24,38630,17
2008,306.0,6.0,23,39630,17
2008,306.0,6.0,24,37740,17
2008,306.0,6.0,23,41980,17
2008,306.0,6.0,24,36280,17
2008,306.0,6.0,25,36740,17
2008,306.0,6.0,24,40980,17
2008,306.0,6.0,25,38680,17
2008,306.0,6.0,25,28510,17
2008,306.0,6.0,25,30210,17
2008,306.0,6.0,24,31210,17
2008,306.0,6.0,25,33340,17
2008,306.0,6.0,23,37280,17
2009,306.0,6.0,24,41570,16
2009,306.0,6.0,24,36870,16
2009,306.0,6.0,23,42570,16
2009,306.0,6.0,23,37870,16
2009,306.0,6.0,24,39220,16
2009,306.0,6.0,23,40220,16
2002,400.0,8.0,15,160829,23
2002,400.0,8.0,15,140615,23
2002,400.0,8.0,15,150694,23
2002,400.0,8.0,15,170829,23
2003,400.0,8.0,15,165986,22
2003,400.0,8.0,15,154090,22
2003,400.0,8.0,15,143860,22
2003,400.0,8.0,15,176287,22
2004,400.0,8.0,15,157767,21
2004,425.0,8.0,15,187124,21
2004,400.0,8.0,15,147332,21
2004,400.0,8.0,15,169900,21
2004,400.0,8.0,15,180408,21
2015,350.0,6.0,26,46790,10
2015,332.0,6.0,24,48100,10
2015,332.0,6.0,26,29990,10
2015,332.0,6.0,25,41820,10
2015,332.0,6.0,26,31290,10
2015,332.0,6.0,26,34870,10
2015,332.0,6.0,26,33570,10
2015,332.0,6.0,25,46570,10
2015,332.0,6.0,26,37970,10
2015,332.0,6.0,26,37070,10
2015,332.0,6.0,25,49400,10
2015,332.0,6.0,24,45270,10
2015,332.0,6.0,26,39270,10
2015,350.0,6.0,26,45490,10
2015,350.0,6.0,26,41990,10
2015,332.0,6.0,26,38370,10
2015,350.0,6.0,26,43290,10
2016,332.0,6.0,25,41820,9
2016,332.0,6.0,24,48100,9
2016,350.0,6.0,26,43290,9
2016,332.0,6.0,26,39270,9
2016,332.0,6.0,26,34870,9
2016,350.0,6.0,26,41990,9
2016,332.0,6.0,26,38370,9
2016,332.0,6.0,24,45270,9
2016,350.0,6.0,26,45490,9
2016,332.0,6.0,26,29990,9
2016,332.0,6.0,25,46570,9
2016,350.0,6.0,26,46790,9
2016,332.0,6.0,25,49400,9
2016,332.0,6.0,26,37070,9
2016,332.0,6.0,26,31290,9
2016,332.0,6.0,26,37970,9
2016,332.0,6.0,26,33570,9
2017,332.0,6.0,26,37970,8
2017,332.0,6.0,26,38370,8
2017,332.0,6.0,26,34870,8
2017,332.0,6.0,26,29990,8
2017,350.0,6.0,26,45490,8
2017,350.0,6.0,26,41990,8
2017,332.0,6.0,24,45270,8
2017,332.0,6.0,26,33570,8
2017,332.0,6.0,24,48100,8
2017,332.0,6.0,26,39270,8
2017,332.0,6.0,25,46570,8
2017,332.0,6.0,25,49400,8
2017,332.0,6.0,26,37070,8
2017,332.0,6.0,25,41820,8
2017,350.0,6.0,26,46790,8
2017,350.0,6.0,26,43290,8
2017,332.0,6.0,26,31290,8
2015,184.0,4.0,37,25045,10
2015,184.0,4.0,39,26095,10
2015,155.0,4.0,41,23795,10
2015,155.0,4.0,41,19595,10
2015,155.0,4.0,41,18445,10
2015,184.0,4.0,37,23845,10
2015,184.0,4.0,37,25395,10
2015,184.0,4.0,39,24895,10
2015,184.0,4.0,35,25545,10
2015,155.0,4.0,40,24295,10
2015,155.0,4.0,41,19495,10
2015,155.0,4.0,40,20095,10
2015,155.0,4.0,40,19995,10
2015,155.0,4.0,40,21145,10
2015,155.0,4.0,40,23245,10
2015,155.0,4.0,41,16945,10
2015,184.0,4.0,35,24345,10
2015,155.0,4.0,41,20645,10
2015,155.0,4.0,40,18945,10
2015,184.0,4.0,37,26595,10
2015,155.0,4.0,41,22745,10
2015,155.0,4.0,41,17995,10
2016,155.0,4.0,41,22545,9
2016,155.0,4.0,41,21095,9
2016,184.0,4.0,37,25495,9
2016,155.0,4.0,40,20745,9
2016,155.0,4.0,40,24295,9
2016,155.0,4.0,41,23595,9
2016,155.0,4.0,40,21795,9
2016,155.0,4.0,41,17845,9
2016,184.0,4.0,37,26495,9
2016,184.0,4.0,37,24745,9
2016,155.0,4.0,41,18895,9
2016,155.0,4.0,40,19595,9
2016,155.0,4.0,40,23245,9
2016,155.0,4.0,40,18545,9
2016,184.0,4.0,39,25795,9
2016,155.0,4.0,41,20045,9
2016,184.0,4.0,35,25445,9
2016,184.0,4.0,39,24795,9
2017,155.0,4.0,37,21495,8
2017,155.0,4.0,37,17845,8
2017,184.0,4.0,34,23145,8
2017,184.0,4.0,36,24195,8
2017,155.0,4.0,37,20145,8
2017,184.0,4.0,35,24945,8
2017,184.0,4.0,33,23895,8
2017,155.0,4.0,37,19095,8
2017,184.0,4.0,35,23445,8
2017,155.0,4.0,37,18895,8
2017,155.0,4.0,37,22245,8
2017,184.0,4.0,33,22395,8
2017,155.0,4.0,37,20445,8
2015,240.0,4.0,33,42300,10
2015,240.0,4.0,34,40300,10
2015,240.0,4.0,34,40300,10
2015,240.0,4.0,33,42300,10
2015,300.0,6.0,32,45800,10
2015,300.0,6.0,31,47800,10
2016,240.0,4.0,34,43650,9
2016,300.0,6.0,30,49950,9
2016,300.0,6.0,31,47950,9
2016,240.0,4.0,34,41650,9
2017,320.0,6.0,32,48300,8
2017,320.0,6.0,31,50300,8
2017,248.0,4.0,33,43950,8
2017,248.0,4.0,34,41950,8
2015,300.0,6.0,29,56900,10
2015,300.0,6.0,32,46250,10
2015,240.0,4.0,33,50750,10
2015,240.0,4.0,33,42750,10
2015,240.0,4.0,34,48750,10
2015,300.0,6.0,30,48250,10
2015,240.0,4.0,33,42750,10
2015,240.0,4.0,33,50750,10
2015,240.0,4.0,35,40750,10
2015,300.0,6.0,31,54900,10
2015,240.0,4.0,34,48750,10
2015,240.0,4.0,35,40750,10
2016,240.0,4.0,33,52000,9
2016,240.0,4.0,34,50000,9
2016,240.0,4.0,34,41850,9
2016,300.0,6.0,30,50150,9
2016,240.0,4.0,35,41850,9
2016,300.0,6.0,29,58950,9
2016,240.0,4.0,34,43850,9
2016,300.0,6.0,31,48150,9
2016,300.0,6.0,31,56950,9
2017,248.0,4.0,34,50300,8
2017,248.0,4.0,32,52300,8
2017,320.0,6.0,31,50500,8
2017,248.0,4.0,33,44150,8
2017,248.0,4.0,34,42150,8
2017,320.0,6.0,30,59300,8
2017,320.0,6.0,29,57300,8
2017,320.0,6.0,32,48500,8
1992,268.0,8.0,20,2168,33
1992,282.0,8.0,16,2497,33
1993,275.0,8.0,22,2278,32
1993,275.0,8.0,17,2650,32
1990,201.0,8.0,17,2000,35
1991,201.0,8.0,17,2186,34
2001,442.0,12.0,14,223970,24
2001,442.0,12.0,15,219775,24
2002,442.0,12.0,14,228625,23
2002,442.0,12.0,15,224585,23
2003,442.0,12.0,14,228625,22
2003,442.0,12.0,15,224585,22
2013,562.0,8.0,17,257412,12
2013,562.0,8.0,17,233509,12
2014,562.0,8.0,17,233509,11
2014,597.0,8.0,17,288000,11
2014,562.0,8.0,17,257412,11
2015,562.0,8.0,17,239340,10
2015,562.0,8.0,17,263553,10
2015,597.0,8.0,17,291744,10
2015,237.0,4.0,34,63900,10
2015,237.0,4.0,34,68400,10
2015,237.0,4.0,34,53900,10
2016,237.0,4.0,34,55900,9
2016,237.0,4.0,34,65900,9
2014,270.0,6.0,23,41365,11
2014,270.0,6.0,23,35740,11
2014,270.0,6.0,22,37615,11
2014,270.0,6.0,22,34695,11
2014,270.0,6.0,22,35725,11
2014,270.0,6.0,22,43400,11
2014,270.0,6.0,23,32820,11
2014,270.0,6.0,22,38645,11
2015,270.0,6.0,21,37825,10
2015,270.0,6.0,21,43620,10
2015,270.0,6.0,21,36115,10
2015,270.0,6.0,22,35950,10
2015,270.0,6.0,22,33210,10
2015,270.0,6.0,21,38855,10
2015,270.0,6.0,22,41585,10
2015,270.0,6.0,21,35085,10
2015,270.0,6.0,21,41310,10
2016,270.0,6.0,22,36690,9
2016,270.0,6.0,21,44360,9
2016,270.0,6.0,21,39595,9
2016,270.0,6.0,21,41850,9
2016,270.0,6.0,22,42325,9
2016,270.0,6.0,21,35885,9
2016,270.0,6.0,21,38565,9
2016,270.0,6.0,21,36915,9
2016,270.0,6.0,22,34010,9
2015,300.0,6.0,28,60700,10
2015,445.0,8.0,24,71400,10
2015,300.0,6.0,26,63000,10
2015,445.0,8.0,25,69100,10
2016,300.0,6.0,26,63200,9
2016,445.0,8.0,24,72500,9
2016,300.0,6.0,28,60900,9
2017,300.0,6.0,26,63200,8
2017,300.0,6.0,27,60900,8
2017,445.0,8.0,24,72500,8
2015,443.0,8.0,25,67200,10
2015,302.0,6.0,29,57900,10
2015,255.0,6.0,38,57100,10
2015,241.0,4.0,33,52250,10
2015,255.0,6.0,37,59400,10
2015,443.0,8.0,25,64900,10
2015,241.0,4.0,34,49950,10
2015,302.0,6.0,31,55600,10
2016,255.0,6.0,38,57350,9
2016,302.0,6.0,29,58150,9
2016,302.0,6.0,31,55850,9
2016,240.0,4.0,34,52500,9
2016,240.0,4.0,34,50200,9
2016,443.0,8.0,25,68600,9
2016,443.0,8.0,25,66300,9
2016,255.0,6.0,37,59650,9
1991,322.0,8.0,17,4155,34
1992,322.0,8.0,15,2427,33
1992,322.0,8.0,16,3245,33
1992,322.0,8.0,17,4701,33
1993,315.0,8.0,16,3176,32
1993,315.0,8.0,18,3613,32
1993,315.0,8.0,19,5140,32
1993,315.0,8.0,16,2692,32
2015,160.0,4.0,34,26595,10
2015,101.0,4.0,40,18700,10
2015,135.0,4.0,34,19700,10
2015,101.0,4.0,34,22800,10
2015,101.0,4.0,34,24700,10
2015,160.0,4.0,34,22495,10
2015,101.0,4.0,40,17495,10
2015,101.0,4.0,34,20345,10
2015,101.0,4.0,40,17700,10
2015,101.0,4.0,40,20400,10
2015,101.0,4.0,40,16845,10
2016,160.0,4.0,34,26695,9
2016,101.0,4.0,40,21295,9
2016,101.0,4.0,40,20395,9
2016,101.0,4.0,40,17745,9
2016,160.0,4.0,34,22575,9
2016,101.0,4.0,40,24495,9
2016,101.0,4.0,40,16995,9
2016,101.0,4.0,40,20395,9
2016,135.0,4.0,34,19700,9
2016,101.0,4.0,40,17900,9
2016,101.0,4.0,40,21395,9
2017,160.0,4.0,33,19995,8
2017,101.0,4.0,33,19390,8
2017,101.0,4.0,33,17485,8
2017,101.0,4.0,33,20885,8
2017,160.0,4.0,33,21490,8
2017,101.0,4.0,33,15990,8
2015,160.0,4.0,33,19345,10
2015,160.0,4.0,33,23095,10
2015,160.0,4.0,30,24695,10
2015,160.0,4.0,33,21695,10
2015,160.0,4.0,33,20695,10
2016,160.0,4.0,33,21880,9
2016,160.0,4.0,33,23395,9
2016,160.0,4.0,30,24795,9
2016,160.0,4.0,33,20795,9
2016,160.0,4.0,33,19495,9
2017,160.0,4.0,30,23695,8
2017,160.0,4.0,30,20995,8
2017,160.0,4.0,30,22995,8
2016,180.0,4.0,30,24635,9
2016,180.0,4.0,31,25135,9
2016,180.0,4.0,30,29235,9
2016,180.0,4.0,31,23335,9
2016,180.0,4.0,31,22735,9
2016,180.0,4.0,30,27035,9
2016,160.0,4.0,34,20000,9
2016,180.0,4.0,31,27335,9
2016,180.0,4.0,30,25235,9
2017,180.0,4.0,29,27035,8
2017,180.0,4.0,30,25135,8
2017,180.0,4.0,29,25235,8
2017,180.0,4.0,29,23890,8
2017,180.0,4.0,30,23335,8
2017,160.0,4.0,33,19995,8
2001,485.0,12.0,12,248500,24
2001,485.0,12.0,12,205840,24
1990,238.0,8.0,16,2323,35
1990,238.0,8.0,16,2170,35
1991,238.0,8.0,16,2443,34
1991,238.0,8.0,16,2304,34
2016,562.0,8.0,23,184900,9
2002,515.0,12.0,15,214670,23
2002,515.0,12.0,16,224670,23
2003,515.0,12.0,15,217890,22
2003,515.0,12.0,16,228339,22
2004,515.0,12.0,16,228339,21
2004,515.0,12.0,15,217890,21
2010,543.0,12.0,16,366000,15
2010,631.0,12.0,16,455500,15
2010,604.0,12.0,16,405500,15
2011,543.0,12.0,16,372500,14
2011,620.0,12.0,16,412000,14
2012,543.0,12.0,16,379050,13
2012,620.0,12.0,16,418950,13
2009,611.0,12.0,15,320580,16
2009,611.0,12.0,15,310543,16
2010,611.0,12.0,15,310543,15
2011,611.0,12.0,15,320580,14
2011,661.0,12.0,15,410000,14
2013,157.0,4.0,28,24470,12
2013,157.0,4.0,28,20940,12
2013,157.0,4.0,28,19940,12
2013,157.0,4.0,28,22070,12
2014,157.0,4.0,28,20140,11
2014,157.0,4.0,28,24670,11
2014,157.0,4.0,28,21140,11
2014,157.0,4.0,28,22270,11
2015,157.0,4.0,28,24770,10
2015,157.0,4.0,28,22370,10
2015,157.0,4.0,28,21240,10
2015,445.0,8.0,24,92600,10
2015,315.0,6.0,29,81300,10
2015,315.0,6.0,31,78300,10
2015,445.0,8.0,25,89600,10
2016,445.0,8.0,24,93900,9
2016,315.0,6.0,29,82500,9
2016,445.0,8.0,25,90900,9
2016,315.0,6.0,31,79500,9
2017,445.0,8.0,24,91200,8
2017,315.0,6.0,28,82800,8
2017,445.0,8.0,24,94200,8
2017,315.0,6.0,29,79800,8
2015,445.0,8.0,25,94900,10
2015,315.0,6.0,29,86600,10
2015,315.0,6.0,29,79100,10
2015,315.0,6.0,32,76100,10
2015,445.0,8.0,25,90400,10
2015,315.0,6.0,31,83600,10
2015,445.0,8.0,25,87400,10
2015,445.0,8.0,24,97900,10
2016,315.0,6.0,29,87800,9
2016,315.0,6.0,31,77300,9
2016,445.0,8.0,24,99200,9
2016,445.0,8.0,25,96200,9
2016,315.0,6.0,29,80300,9
2016,315.0,6.0,31,84800,9
2016,445.0,8.0,25,91700,9
2016,445.0,8.0,25,88700,9
2017,445.0,8.0,24,92000,8
2017,315.0,6.0,30,77600,8
2017,445.0,8.0,24,89000,8
2017,315.0,6.0,28,80600,8
2017,315.0,6.0,29,85100,8
2017,315.0,6.0,28,88100,8
2017,445.0,8.0,24,96500,8
2017,445.0,8.0,24,99500,8
1992,402.0,12.0,14,2960,33
1993,389.0,12.0,15,3108,32
1993,389.0,12.0,16,4623,32
1993,389.0,12.0,15,3211,32
1990,140.0,6.0,27,2000,35
1990,110.0,4.0,29,2000,35
1990,140.0,6.0,27,2000,35
1990,140.0,6.0,27,2000,35
1990,140.0,6.0,27,2000,35
1991,140.0,6.0,28,2000,34
1991,140.0,6.0,28,2000,34
1991,110.0,4.0,28,2000,34
2009,532.0,12.0,16,313088,16
2010,532.0,12.0,16,313088,15
2011,532.0,12.0,16,313088,14
2000,170.0,6.0,25,2080,25
2000,170.0,6.0,25,2234,25
2000,130.0,4.0,29,2000,25
2000,130.0,4.0,25,2146,25
2001,165.0,6.0,25,22935,24
2001,165.0,6.0,25,19935,24
2001,125.0,4.0,25,20935,24
2001,125.0,4.0,29,18735,24
2002,165.0,6.0,25,19985,23
2002,125.0,4.0,29,18785,23
2002,165.0,6.0,25,21885,23
2010,604.0,12.0,16,456500,15
2010,543.0,12.0,16,417000,15
2010,631.0,12.0,16,506500,15
2011,543.0,12.0,16,423500,14
2011,620.0,12.0,16,463000,14
2012,620.0,12.0,16,470350,13
2012,543.0,12.0,16,430450,13
2015,641.0,8.0,22,265500,10
2015,641.0,8.0,22,280225,10
2015,184.0,4.0,38,24895,10
2015,184.0,4.0,38,22895,10
2015,184.0,4.0,37,23845,10
2015,184.0,4.0,37,21190,10
2015,184.0,4.0,40,29895,10
2016,184.0,4.0,38,22995,9
2016,184.0,4.0,38,24995,9
2016,184.0,4.0,37,21495,9
2016,184.0,4.0,38,30195,9
2016,184.0,4.0,37,23945,9
2017,184.0,4.0,35,30695,8
2017,184.0,4.0,34,21945,8
2017,184.0,4.0,34,24195,8
2017,184.0,4.0,35,22995,8
2017,184.0,4.0,35,25245,8
2015,535.0,12.0,20,141200,10
2015,315.0,6.0,29,78000,10
2015,445.0,8.0,25,91000,10
2015,445.0,8.0,24,94000,10
2015,315.0,6.0,28,81000,10
2015,315.0,6.0,29,74000,10
2015,445.0,8.0,25,87300,10
2015,445.0,8.0,24,90300,10
2015,255.0,6.0,31,82500,10
2016,445.0,8.0,25,94400,9
2016,320.0,6.0,29,81300,9
2016,445.0,8.0,25,97400,9
2017,445.0,8.0,26,94600,8
2017,445.0,8.0,25,97600,8
2017,320.0,6.0,28,84500,8
2017,320.0,6.0,29,81500,8
2017,300.0,4.0,28,53900,8
2017,350.0,4.0,26,66300,8
1990,114.0,4.0,26,2000,35
1990,153.0,4.0,26,2000,35
1990,114.0,4.0,26,2000,35
1990,114.0,4.0,26,2000,35
1990,114.0,4.0,26,2000,35
1990,153.0,4.0,23,2000,35
1991,162.0,4.0,20,2000,34
1991,162.0,4.0,24,2000,34
1991,114.0,4.0,24,2000,34
1991,162.0,4.0,20,2000,34
1991,162.0,4.0,24,2000,34
1991,114.0,4.0,24,2000,34
1992,162.0,4.0,20,2000,33
1992,114.0,4.0,26,2000,33
1992,114.0,4.0,26,2000,33
1992,114.0,4.0,26,2000,33
1990,144.0,6.0,19,2000,35
1990,162.0,4.0,20,2000,35
1990,162.0,4.0,20,2000,35
1990,188.0,4.0,20,2000,35
1990,144.0,6.0,19,2000,35
1995,282.0,8.0,22,4784,30
1995,322.0,12.0,19,5858,30
1995,372.0,12.0,18,8488,30
1996,322.0,12.0,19,6954,29
1996,282.0,8.0,19,5680,29
1997,322.0,12.0,19,7624,28
1997,282.0,8.0,19,6693,28
1990,108.0,4.0,28,2000,35
1990,130.0,5.0,22,2000,35
1991,130.0,5.0,24,2000,34
1991,130.0,5.0,22,2000,34
1992,130.0,5.0,24,2000,33
1992,130.0,5.0,22,2000,33
1995,222.0,5.0,24,2000,30
1995,168.0,5.0,26,2000,30
1995,240.0,5.0,24,2000,30
1995,168.0,5.0,26,2000,30
1995,168.0,5.0,26,2000,30
